date,rolling_sharpe
2020-01-04,
2020-01-11,2.1442131117100494
2020-01-17,2.915834355057311
2020-01-24,3.5757494511896373
2020-01-30,4.1177754589644096
2020-02-06,4.610167563589601
2020-02-13,5.057478843972508
2020-02-19,5.4719247875548795
2020-02-26,5.85716569177162
2020-03-03,6.218840037415552
2020-03-10,6.545960199387112
2020-03-16,6.871220506862645
2020-03-23,7.176743963342728
2020-03-29,7.38317819422409
2020-04-05,7.642555609392569
2020-04-11,7.903279578737851
2020-04-18,8.14705167488263
2020-04-25,8.313592705919485
2020-05-01,8.535465759460351
2020-05-08,8.73185216295793
2020-05-14,20.719003575599793
2020-05-21,20.86581155047236
2020-05-27,21.971239083012357
2020-06-03,22.039102498498636
2020-06-09,21.92583000915003
2020-06-16,23.107303728297126
2020-06-22,22.22665524472788
2020-06-29,22.611401096182117
2020-07-05,22.813464208911412
2020-07-12,24.48231281230071
2020-07-19,24.15709656376598
2020-07-25,23.935643130665905
2020-08-01,25.347467941212088
2020-08-07,24.003646901117744
2020-08-14,23.910860588493197
2020-08-20,23.981467949705035
2020-08-27,24.936334628510867
2020-09-02,24.252087001621078
2020-09-09,22.87255043964486
2020-09-15,23.86493801793495
2020-09-22,25.00518352400973
2020-09-29,24.77533677094515
2020-10-05,24.399844249358154
2020-10-12,25.456861439304515
2020-10-18,24.466504680599584
2020-10-25,23.235161427167345
2020-10-31,24.343962798920757
2020-11-07,25.02611675618717
